,MRP,RAM_Size(GB),RAM_Type,Processor,Storage(GB),OS,Brand
463,28990,4,DDR4,Intel Core i3 ,0,Windows,ASUS
464,389990,32,DDR5,Intel Core i9 ,2,Windows,MSI
465,67224,16,DDR4,Intel Core i5 ,512,Windows,DELL
468,114990,16,DDR4,AMD Ryzen 7 Octa Core ,256,Windows,acer
469,61249,4,DDR4,Intel Core i5 ,0,Windows,ASUS
472,69990,16,DDR4,Intel Core i5 ,512,Windows,HP
473,69990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,DOS,Lenovo
475,37990,8,DDR4,AMD Ryzen 3 Dual Core ,256,Windows,Lenovo
478,36990,8,LPDDR4X,Intel Core i5 ,512,Windows,Infinix
479,29980,4,DDR4,Intel Celeron Dual Core ,128,Windows,ASUS
483,41600,8,DDR4,AMD Ryzen 3 Dual Core ,512,Windows,DELL
485,61986,8,DDR4,Intel Core i5 ,512,Windows,ASUS
489,38999,8,DDR4,AMD Ryzen 3 Dual Core ,256,Windows,HP
492,31990,4,DDR4,Intel Core i3 ,256,Windows,Lenovo
495,46990,8,DDR4,Intel Core i5 ,512,Windows,ASUS
498,37990,8,LPDDR4X,Intel Core i5 ,512,Windows,Infinix
502,61490,8,DDR4,AMD Ryzen 5 Hexa Core ,256,Windows,acer
503,109990,16,DDR4,AMD Ryzen 7 Octa Core ,1,Windows,HP
504,54990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
505,50990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,Lenovo
508,62190,8,DDR4,Intel Core i5 ,0,Windows,MSI
509,24390,4,LPDDR4,Intel Celeron Dual Core ,0,Chrome,ASUS
512,36990,8,DDR4,Intel Core i3 ,0,Windows,Lenovo
513,159990,16,DDR4,AMD Ryzen 7 Octa Core ,1,Windows,HP
514,34490,4,DDR4,Intel Core i3 ,256,Windows,ASUS
515,99990,16,DDR4,AMD Ryzen 9 Octa Core ,512,Windows,ASUS
518,79990,8,LPDDR4X,Intel Core i5 ,512,Windows,ASUS
522,41490,8,DDR4,Intel Core i3 ,256,Windows,HP
523,206581,16,DDR5,AMD Ryzen 7 Octa Core ,1,Windows,DELL
524,59990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,ASUS
525,62990,16,DDR4,Intel Core i5 ,512,Windows,acer
528,194990,16,DDR5,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
529,62990,8,DDR4,AMD Ryzen 5 Hexa Core ,256,Windows,ASUS
532,61990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,Lenovo
533,105990,16,DDR5,AMD Ryzen 7 Octa Core ,1,Windows,ASUS
534,155490,16,DDR5,Intel Core i7 ,1,Windows,acer
535,19990,4,LPDDR4,Intel Celeron Dual Core ,128,Windows,Ultimus
538,33499,4,DDR4,Intel Core i3 ,0,Windows,Lenovo
542,63990,8,DDR4,Intel Core i5 ,512,Windows,HP
543,124990,16,DDR4,Intel Core i9 ,1,Windows,acer
544,21990,4,DDR4,Intel Celeron Dual Core ,0,Windows,ASUS
545,30100,4,DDR4,Intel Celeron Dual Core ,256,Windows,Lenovo
548,199990,32,DDR5,Intel Core i7 ,1,Windows,HP
549,61130,8,DDR4,Intel Core i5 ,256,Windows,acer
552,40990,8,DDR4,Intel Core i3 ,256,Windows,Lenovo
553,75990,8,DDR4,Intel Core i5 ,1,Windows,ASUS
554,46890,8,DDR4,Intel Core i3 ,512,Windows,HP
